date,prec_tot_hr,press_atm_niv_est_hr,temp_ar_bul_sec_hr,temp_pt_orv,temp_max_hr_ant,temp_min_hr_ant,umi_rel_ar_hr,ven_dir_hr,ven_vel_hr
2001-01-01 00:00:00,0.8,886.0,20.1,19.0,20.7,20.1,93.0,167.0,2.8
2001-01-01 01:00:00,3.4,886.1,19.8,19.0,20.0,19.7,95.0,187.0,0.3
2001-01-01 02:00:00,1.4,886.2,19.9,19.1,20.0,19.8,95.0,288.0,0.0
2001-01-01 03:00:00,0.0,885.8,19.8,19.0,20.0,19.7,95.0,346.0,0.2
2001-01-01 04:00:00,0.0,885.4,19.4,18.9,20.0,19.4,97.0,305.0,1.8
2001-01-01 05:00:00,0.0,884.6,19.2,18.5,19.4,19.2,95.0,349.0,2.0
2001-01-01 06:00:00,0.0,884.5,19.1,18.4,19.2,19.0,96.0,353.0,2.1
2001-01-01 07:00:00,0.0,884.6,18.9,18.4,19.1,18.8,97.0,359.0,0.9
2001-01-01 08:00:00,3.6,885.0,18.9,18.4,18.9,18.7,97.0,98.0,0.9
2001-01-01 09:00:00,12.0,885.6,18.8,18.2,19.0,18.8,97.0,215.0,0.6
2001-01-01 10:00:00,0.4,886.0,19.3,18.6,19.3,18.8,96.0,360.0,0.0
2001-01-01 11:00:00,0.2,886.5,19.4,18.6,19.5,19.1,95.0,330.0,1.5
2001-01-01 12:00:00,0.2,886.7,20.6,18.7,20.6,19.4,89.0,347.0,1.9
2001-01-01 13:00:00,0.0,887.0,22.8,17.9,22.8,20.7,74.0,349.0,0.6
2001-01-01 14:00:00,0.0,886.7,23.3,19.5,23.9,22.7,79.0,334.0,2.0
2001-01-01 15:00:00,2.4,886.2,22.7,20.3,23.8,21.3,86.0,320.0,2.8
2001-01-01 16:00:00,2.4,885.7,20.9,19.2,23.7,20.9,90.0,271.0,3.1
2001-01-01 17:00:00,0.6,884.7,24.6,18.8,24.6,21.0,70.0,331.0,0.7
2001-01-01 18:00:00,0.0,884.4,23.4,19.5,24.4,23.4,79.0,26.0,3.9
2001-01-01 19:00:00,0.2,883.9,22.5,17.5,23.1,22.2,73.0,347.0,4.3
2001-01-01 20:00:00,0.0,883.9,22.1,18.8,22.9,22.1,82.0,328.0,2.6
2001-01-01 21:00:00,0.0,884.0,21.8,19.2,22.2,21.8,85.0,358.0,1.6
2001-01-01 22:00:00,0.0,885.0,21.4,19.4,21.8,21.4,88.0,304.0,2.0
2001-01-01 23:00:00,6.4,885.3,18.9,18.0,21.4,18.8,95.0,333.0,2.2
2001-01-02 00:00:00,24.0,885.8,19.1,18.6,19.1,18.5,97.0,310.0,2.3
2001-01-02 01:00:00,1.2,886.2,19.2,18.7,19.3,19.1,97.0,304.0,2.0
2001-01-02 02:00:00,0.0,886.5,19.2,18.7,19.2,19.2,97.0,3.0,1.4
2001-01-02 03:00:00,0.0,886.2,19.1,18.6,19.3,19.1,97.0,315.0,1.8
2001-01-02 04:00:00,0.0,885.9,19.0,18.4,19.1,19.0,96.0,317.0,1.9
2001-01-02 05:00:00,0.0,885.5,18.9,18.3,19.0,18.9,96.0,311.0,2.1
2001-01-02 06:00:00,0.0,885.0,18.8,18.1,18.9,18.8,96.0,324.0,2.0
2001-01-02 07:00:00,0.0,885.0,18.7,18.2,18.8,18.7,97.0,334.0,2.8
2001-01-02 08:00:00,0.0,885.2,18.6,18.0,18.7,18.6,96.0,326.0,1.9
2001-01-02 09:00:00,0.0,885.9,18.8,18.2,18.8,18.6,96.0,341.0,1.3
2001-01-02 10:00:00,0.0,886.1,19.2,18.4,19.2,18.8,95.0,344.0,2.3
2001-01-02 11:00:00,0.0,886.9,19.3,18.4,19.4,19.2,94.0,340.0,2.1
2001-01-02 12:00:00,0.0,887.2,20.9,18.9,20.9,19.3,88.0,341.0,2.1
2001-01-02 13:00:00,0.0,887.2,21.9,18.6,22.4,20.9,81.0,340.0,3.4
2001-01-02 14:00:00,0.0,887.0,22.1,18.8,23.6,21.9,82.0,330.0,3.4
2001-01-02 15:00:00,3.2,886.6,22.9,18.8,22.9,20.7,78.0,325.0,3.1
2001-01-02 16:00:00,0.0,886.0,23.4,18.3,23.8,22.6,73.0,327.0,3.5
2001-01-02 17:00:00,0.0,885.7,23.7,18.2,24.7,23.4,71.0,306.0,3.6
2001-01-02 18:00:00,0.0,884.9,22.9,18.8,23.8,22.9,77.0,294.0,3.1
2001-01-02 19:00:00,0.0,884.2,22.8,18.5,23.1,22.0,77.0,311.0,4.2
2001-01-02 20:00:00,0.0,884.4,22.2,18.2,22.8,21.6,78.0,316.0,2.7
2001-01-02 21:00:00,0.0,885.0,22.0,17.8,22.5,22.0,77.0,308.0,1.5
2001-01-02 22:00:00,0.0,886.0,21.2,17.8,22.0,21.2,81.0,304.0,1.3
2001-01-02 23:00:00,0.0,886.2,20.8,17.4,21.2,20.8,81.0,337.0,1.0
2001-01-03 00:00:00,0.0,887.1,20.4,18.1,20.8,20.4,87.0,36.0,2.0
2001-01-03 01:00:00,0.0,887.5,19.9,17.8,20.3,19.9,88.0,37.0,1.3
2001-01-03 02:00:00,0.2,887.8,19.2,18.0,20.0,19.2,93.0,350.0,3.4
2001-01-03 03:00:00,0.0,887.0,19.0,17.5,19.2,18.9,91.0,306.0,2.4
2001-01-03 04:00:00,0.0,886.5,18.8,17.3,19.0,18.7,91.0,337.0,2.1
2001-01-03 05:00:00,0.0,886.2,18.7,17.5,18.8,18.7,92.0,2.0,2.3
2001-01-03 06:00:00,0.0,885.9,18.9,17.6,18.9,18.7,93.0,350.0,2.7
2001-01-03 07:00:00,0.0,885.8,18.9,17.8,18.9,18.8,94.0,331.0,1.7
2001-01-03 08:00:00,0.0,886.3399999999999,19.599999999999998,18.02,19.599999999999998,19.12,91.2,265.4,2.06
2001-01-03 09:00:00,0.0,886.88,20.299999999999997,18.24,20.299999999999997,19.44,88.4,199.79999999999998,2.42
2001-01-03 10:00:00,0.0,887.42,21.0,18.46,21.0,19.759999999999998,85.6,134.2,2.7800000000000002
2001-01-03 11:00:00,0.0,887.96,21.7,18.68,21.7,20.08,82.8,68.59999999999997,3.1399999999999997
2001-01-03 12:00:00,0.0,888.5,22.4,18.9,22.4,20.4,80.0,3.0,3.5
2001-01-03 13:00:00,0.0,888.7,23.6,17.9,23.8,21.7,71.0,13.0,4.5
2001-01-03 14:00:00,0.0,888.5,25.2,17.5,25.7,23.6,63.0,16.0,5.6
2001-01-03 15:00:00,0.2,888.1,24.8,17.8,25.3,24.6,65.0,6.0,4.8
2001-01-03 16:00:00,0.0,887.5,24.7,18.0,26.5,24.7,66.0,351.0,4.2
2001-01-03 17:00:00,0.0,886.6,24.5,17.4,25.0,24.5,65.0,333.0,2.4
2001-01-03 18:00:00,0.0,885.8,24.9,18.1,25.0,24.4,66.0,3.0,2.3
2001-01-03 19:00:00,0.0,885.0,25.1,17.5,25.1,24.7,63.0,360.0,2.5
2001-01-03 20:00:00,0.0,884.9,25.7,16.7,26.2,25.2,57.0,14.0,3.5
2001-01-03 21:00:00,0.0,885.3,24.7,17.7,25.7,24.7,65.0,356.0,2.0
2001-01-03 22:00:00,0.0,886.0,22.7,18.3,24.7,22.7,76.0,239.0,1.5
2001-01-03 23:00:00,0.0,886.9,21.9,18.4,22.7,21.9,80.0,142.0,0.6
2001-01-04 00:00:00,0.0,888.2,21.3,18.6,21.9,21.3,85.0,131.0,1.8
2001-01-04 01:00:00,0.0,888.8,20.9,18.5,21.3,20.9,86.0,165.0,1.5
2001-01-04 02:00:00,0.0,888.7,19.6,15.9,21.0,19.6,79.0,87.0,5.2
2001-01-04 03:00:00,2.2,888.2,17.7,15.8,19.5,17.4,89.0,177.0,1.6
2001-01-04 04:00:00,0.0,888.3,17.5,15.8,17.9,17.5,90.0,124.0,1.8
2001-01-04 05:00:00,0.0,888.0,17.8,15.8,17.8,17.5,88.0,145.0,1.1
2001-01-04 06:00:00,1.6,888.3,17.7,16.5,17.8,17.7,93.0,78.0,2.2
2001-01-04 07:00:00,0.8,887.8,17.6,16.9,17.7,17.4,95.0,159.0,1.6
2001-01-04 08:00:00,0.6000000000000001,888.3249999999999,18.025000000000002,17.099999999999998,18.1,17.525,93.75,149.75,1.9500000000000002
2001-01-04 09:00:00,0.4,888.8499999999999,18.450000000000003,17.299999999999997,18.5,17.65,92.5,140.5,2.3
2001-01-04 10:00:00,0.19999999999999996,889.375,18.875,17.5,18.9,17.775,91.25,131.25,2.65
2001-01-04 11:00:00,0.0,889.9,19.3,17.7,19.3,17.9,90.0,122.0,3.0
2001-01-04 12:00:00,0.0,890.4,21.5,18.5,21.5,19.1,83.0,109.0,4.6
2001-01-04 13:00:00,0.0,890.7,20.9,17.9,21.8,20.3,83.0,89.0,4.1
2001-01-04 14:00:00,0.0,890.2,22.6,17.8,22.6,20.9,74.0,96.0,4.5
2001-01-04 15:00:00,0.0,889.4,24.2,18.7,24.8,22.8,71.0,107.0,3.8
2001-01-04 16:00:00,0.0,888.8,24.3,17.7,24.8,24.0,67.0,67.0,3.6
2001-01-04 17:00:00,0.0,887.8,25.6,18.0,25.9,24.3,63.0,67.0,2.4
2001-01-04 18:00:00,0.0,887.4,23.3,17.0,26.3,23.3,68.0,131.0,5.5
2001-01-04 19:00:00,0.0,886.7,22.6,17.5,23.5,22.6,73.0,133.0,4.0
2001-01-04 20:00:00,0.0,887.1,22.9,18.1,22.9,22.6,74.0,142.0,2.5
2001-01-04 21:00:00,0.0,887.3,23.1,18.1,23.3,22.9,73.0,118.0,2.5
2001-01-04 22:00:00,0.0,887.7,22.3,18.6,23.1,22.3,80.0,128.0,2.5
2001-01-04 23:00:00,0.0,888.2,21.8,18.6,22.3,21.8,82.0,136.0,2.9
2001-01-05 00:00:00,0.0,888.7,21.2,18.4,21.8,21.2,84.0,121.0,1.8
